Uuid,Identifier Type,Location,Identifier Source,Manual Entry Enabled,Auto Generation Enabled,_order:2000
2be74f07-a4a0-4bfc-a943-8555d0074a74,OpenMRS ID,,8549f706-7e85-4c1d-9424-217d50a2988b,false,true,
c596797d-8ded-466f-aac5-d9bb2057ccc3,Unique OPD Number,,6e2aaad8-9b96-426a-83b2-ac59533ee5ef,false,true,
